

Trajectories
100
,,Stylo:Corps1,,,
Frame,Sub Frame,X,Y,Z
70,0,-137.188,120.331,167.627
71,0,-138.496,120.377,167.535
72,0,-139.469,120.082,167.448
73,0,-140.438,120.018,167.446
74,0,-141.072,119.8,167.485
75,0,-141.349,119.42,167.568
76,0,-141.535,119.075,167.696
77,0,-140.923,118.202,167.901
78,0,-140.331,117.633,168.31
79,0,-139.609,116.915,168.522
80,0,-138.864,116.305,168.675
81,0,-138.014,115.534,168.748
82,0,-137.124,114.89,168.886
83,0,-136.256,114.151,169.033
84,0,-135.411,113.44,169.155
85,0,-134.497,112.703,169.246
86,0,-133.391,111.828,169.397
87,0,-132.32,110.897,169.434
88,0,-131.282,109.883,169.239
89,0,-130.164,108.817,168.992
90,0,-128.871,107.548,168.728
91,0,-127.678,106.298,168.411
92,0,-126.322,105.008,168.162
93,0,-125.027,103.487,167.745
94,0,-123.724,102.079,167.47
95,0,-122.437,100.775,167.311
96,0,-121.724,99.3729,167.145
97,0,-121.453,97.6458,166.585
98,0,-121.105,96.7673,166.378
99,0,-120.826,95.6542,166.104
100,0,-120.464,94.8501,166.061
101,0,-120.582,93.9234,165.649
102,0,-120.493,93.4057,165.533
103,0,-120.75,92.9325,165.226
104,0,-120.813,92.6146,164.94
105,0,-120.778,92.3055,164.661
106,0,-120.623,92.0647,164.391
107,0,-120.411,91.8322,164.152
108,0,-120.218,91.6496,163.9
109,0,-120.063,91.5729,163.726
110,0,-119.962,91.597,163.605
111,0,-119.892,91.686,163.511
112,0,-119.897,91.7959,163.41
113,0,-119.985,91.9283,163.325
114,0,-120.167,92.043,163.27
115,0,-120.336,92.1184,163.233
116,0,-120.539,92.2107,163.239
117,0,-120.776,92.2841,163.261
118,0,-121.089,92.4,163.277
119,0,-121.357,92.5005,163.315
120,0,-121.629,92.599,163.308
121,0,-121.805,92.6186,163.294
122,0,-121.897,92.5812,163.263
123,0,-121.907,92.4619,163.224
124,0,-121.867,92.3607,163.163
125,0,-121.86,92.3704,163.124
126,0,-121.83,92.4388,163.097
127,0,-121.741,92.5906,163.053
128,0,-121.719,92.7503,162.987
129,0,-121.633,92.9165,162.972
130,0,-121.67,93.1046,162.931
131,0,-121.65,93.3125,162.902
132,0,-121.666,93.5561,162.898
133,0,-121.663,93.7635,162.879
134,0,-121.643,94.009,162.904
135,0,-121.624,94.1825,162.896
136,0,-121.562,94.2878,162.871
137,0,-121.494,94.4138,162.841
138,0,-121.407,94.5176,162.835
139,0,-121.372,94.6245,162.828
140,0,-121.353,94.7753,162.828
141,0,-121.336,94.9562,162.827
142,0,-121.274,95.1588,162.795
143,0,-121.21,95.3638,162.777
144,0,-121.156,95.4995,162.716
145,0,-121.087,95.6015,162.677
146,0,-121.018,95.6647,162.627
147,0,-121.002,95.7607,162.586
148,0,-120.923,95.8425,162.566
149,0,-120.908,95.9266,162.529
150,0,-120.874,95.9661,162.503
151,0,-120.833,96.0088,162.46
152,0,-120.756,96.0431,162.435
153,0,-120.734,96.0727,162.418
154,0,-120.689,96.0981,162.42
155,0,-120.665,96.1234,162.398
156,0,-120.664,96.1817,162.373
157,0,-120.634,96.221,162.349
158,0,-120.588,96.2485,162.329
159,0,-120.565,96.2806,162.341
160,0,-120.533,96.3089,162.303
161,0,-120.5,96.3418,162.277
162,0,-120.465,96.3715,162.275
163,0,-120.405,96.4076,162.237
164,0,-120.351,96.4122,162.247
165,0,-120.338,96.3944,162.247
166,0,-120.32,96.4148,162.224
167,0,-120.269,96.451,162.208
168,0,-120.289,96.4598,162.208
169,0,-120.3,96.442,162.207
170,0,-120.294,96.4592,162.21
171,0,-120.348,96.4535,162.232
172,0,-120.38,96.4676,162.235
173,0,-120.403,96.4803,162.227
174,0,-120.373,96.5223,162.215
175,0,-120.349,96.4942,162.169
176,0,-120.274,96.5246,162.156
177,0,-120.234,96.5405,162.103
178,0,-120.13,96.6236,162.105
179,0,-120.038,96.6734,162.062
180,0,-119.866,96.728,162.034
181,0,-119.71,96.755,162.002
182,0,-119.488,96.7999,161.936
183,0,-119.142,96.9158,161.87
184,0,-118.721,97.0288,161.78
185,0,-118.294,97.1971,161.802
186,0,-117.876,97.4566,161.919
187,0,-117.676,97.6031,161.916
188,0,-117.674,97.6575,161.843
189,0,-117.644,97.6658,161.797
190,0,-117.598,97.6611,161.812
191,0,-117.53,97.6523,161.814
192,0,-117.492,97.6296,161.824
193,0,-117.392,97.6016,161.818
194,0,-117.312,97.6451,161.84
195,0,-117.385,97.6315,161.765
196,0,-117.39,97.6941,161.774
197,0,-117.402,97.7567,161.786
198,0,-117.423,97.7655,161.783
199,0,-117.434,97.7595,161.785
200,0,-117.49,97.775,161.807
201,0,-117.519,97.7708,161.783
202,0,-117.547,97.7916,161.814
203,0,-117.542,97.8053,161.814
204,0,-117.547,97.7953,161.81
205,0,-117.585,97.7836,161.809
206,0,-117.562,97.7683,161.795
207,0,-117.579,97.7615,161.811
208,0,-117.58,97.7616,161.808
209,0,-117.629,97.7908,161.799
210,0,-117.627,97.8083,161.825
211,0,-117.614,97.809,161.825
212,0,-117.598,97.8022,161.8
213,0,-117.599,97.7756,161.821
214,0,-117.569,97.7686,161.84
215,0,-117.534,97.7394,161.861
216,0,-117.634,97.6773,161.789
217,0,-117.66,97.6901,161.806
218,0,-117.644,97.7367,161.82
219,0,-117.643,97.7274,161.805
220,0,-117.638,97.6984,161.813
221,0,-117.641,97.7237,161.825
222,0,-117.663,97.7341,161.791
223,0,-117.608,97.7266,161.821
224,0,-117.639,97.7217,161.796
225,0,-117.599,97.7042,161.8
226,0,-117.593,97.6825,161.816
227,0,-117.568,97.6826,161.809
228,0,-117.52,97.7042,161.793
229,0,-117.527,97.715,161.798
230,0,-117.546,97.7336,161.782
231,0,-117.488,97.7122,161.782
232,0,-117.511,97.6971,161.794
233,0,-117.496,97.6943,161.8
234,0,-117.487,97.7066,161.793
235,0,-117.463,97.6799,161.774
236,0,-117.352,97.7,161.852
237,0,-117.408,97.6563,161.78
238,0,-117.443,97.6515,161.768
239,0,-117.422,97.6696,161.756
240,0,-117.405,97.6441,161.774
241,0,-117.388,97.5853,161.774
242,0,-117.285,97.5937,161.824
243,0,-117.386,97.5352,161.738
244,0,-117.271,97.5715,161.82
245,0,-117.323,97.5455,161.766
246,0,-117.305,97.52,161.748
247,0,-117.299,97.5222,161.738
248,0,-117.261,97.5677,161.759
249,0,-117.254,97.5924,161.74
250,0,-117.214,97.6069,161.765
251,0,-117.195,97.6166,161.746
252,0,-117.166,97.6307,161.756
253,0,-117.201,97.6456,161.751
254,0,-117.177,97.645,161.751
255,0,-117.138,97.6166,161.736
256,0,-117.106,97.6138,161.757
257,0,-117.086,97.6365,161.764
258,0,-117.094,97.6212,161.743
259,0,-117.096,97.6381,161.754
260,0,-117.086,97.6353,161.744
261,0,-117.086,97.6304,161.742
262,0,-117.082,97.6231,161.748
263,0,-117.096,97.6156,161.742
264,0,-117.081,97.6205,161.745
265,0,-117.087,97.6119,161.773
266,0,-117.112,97.635,161.756
267,0,-117.106,97.6361,161.762
268,0,-117.126,97.6255,161.746
269,0,-117.091,97.5819,161.746
270,0,-117.09,97.5445,161.726
271,0,-117.04,97.5229,161.746
272,0,-117.033,97.4842,161.714
273,0,-117.004,97.4981,161.726
274,0,-116.986,97.5405,161.733
275,0,-117.011,97.5626,161.742
276,0,-117.013,97.5793,161.737
277,0,-117.017,97.5813,161.73
278,0,-117.004,97.5796,161.719
279,0,-116.989,97.5646,161.715
280,0,-116.993,97.5545,161.737
281,0,-116.967,97.5284,161.74
282,0,-116.977,97.5328,161.732
283,0,-116.986,97.5373,161.753
284,0,-116.987,97.5435,161.732
285,0,-116.999,97.5136,161.723
286,0,-117.039,97.5247,161.722
287,0,-117.03,97.5081,161.744
288,0,-117.077,97.5306,161.714
289,0,-117.02,97.5894,161.762
290,0,-117.063,97.5872,161.731
291,0,-117.071,97.6058,161.747
292,0,-116.944,97.6434,161.83
293,0,-117.016,97.5448,161.748
294,0,-117.034,97.5178,161.751
295,0,-117.055,97.5161,161.731
296,0,-117.058,97.5345,161.725
297,0,-117.035,97.5619,161.741
298,0,-117.033,97.5725,161.737
299,0,-116.947,97.5771,161.753
300,0,-116.986,97.5448,161.738
301,0,-116.942,97.5483,161.754
302,0,-116.943,97.5325,161.755
303,0,-116.974,97.4988,161.736
304,0,-117.012,97.5079,161.736
305,0,-116.931,97.5269,161.77
306,0,-116.933,97.5303,161.731
307,0,-116.897,97.5362,161.734
308,0,-116.923,97.5598,161.703
309,0,-116.849,97.5399,161.72
310,0,-116.814,97.4718,161.732
311,0,-116.867,97.4542,161.712
312,0,-116.819,97.411,161.739
313,0,-116.829,97.3769,161.697
314,0,-116.841,97.4013,161.709
315,0,-116.826,97.4553,161.722
316,0,-116.834,97.4943,161.735
317,0,-116.795,97.5403,161.734
318,0,-116.831,97.5647,161.729
319,0,-116.858,97.6015,161.733
320,0,-116.829,97.6029,161.726
321,0,-116.819,97.6733,161.722
322,0,-116.775,97.6974,161.762
323,0,-116.774,97.7157,161.764
324,0,-116.73,97.7124,161.75
325,0,-116.717,97.7272,161.766
326,0,-116.7,97.7751,161.761
327,0,-116.669,97.7973,161.785
328,0,-116.704,97.848,161.748
329,0,-116.734,97.8404,161.767
330,0,-116.708,97.821,161.749
331,0,-116.736,97.8094,161.752
332,0,-116.747,97.7826,161.748
333,0,-116.735,97.8152,161.788
334,0,-116.736,97.846,161.769
335,0,-116.719,97.8924,161.798
336,0,-116.719,97.9234,161.779
337,0,-116.693,97.94,161.79
338,0,-116.68,97.9546,161.792
339,0,-116.681,97.9382,161.798
340,0,-116.669,97.9374,161.765
341,0,-116.681,97.966,161.796
342,0,-116.684,97.9969,161.815
343,0,-116.678,98.0294,161.804
344,0,-116.673,98.0595,161.829
345,0,-116.663,98.0985,161.853
346,0,-116.693,98.1203,161.85
347,0,-116.718,98.1445,161.834
348,0,-116.711,98.1444,161.841
349,0,-116.761,98.1299,161.824
350,0,-116.729,98.1011,161.823
351,0,-116.742,98.0451,161.802
352,0,-116.73,98.0202,161.793
353,0,-116.702,97.9847,161.797
354,0,-116.739,97.9564,161.784
355,0,-116.733,97.9359,161.783
356,0,-116.713,97.9119,161.766
357,0,-116.721,97.8638,161.769
358,0,-116.754,97.7939,161.727
359,0,-116.738,97.7202,161.762
360,0,-116.774,97.644,161.718
361,0,-116.769,97.6019,161.716
362,0,-116.8,97.5162,161.715
363,0,-116.669,97.5118,161.782
364,0,-116.627,97.4851,161.782
365,0,-116.716,97.4413,161.708
366,0,-116.702,97.4382,161.694
367,0,-116.614,97.5149,161.711
368,0,-116.637,97.4251,161.731
369,0,-116.73,97.3749,161.689
370,0,-116.699,97.3856,161.7
371,0,-116.69,97.3496,161.738
372,0,-116.698,97.3531,161.721
373,0,-116.629,97.3709,161.759
374,0,-116.599,97.3857,161.775
375,0,-116.604,97.3956,161.796
376,0,-116.631,97.3662,161.756
377,0,-116.65,97.3803,161.744
378,0,-116.674,97.3663,161.73
379,0,-116.642,97.342,161.739
380,0,-116.43,97.4403,161.897
381,0,-116.61,97.295,161.786
382,0,-116.716,97.2582,161.713
383,0,-116.512,97.4159,161.872
384,0,-116.679,97.3485,161.732
385,0,-116.749,97.364,161.687
386,0,-116.685,97.4579,161.721
387,0,-116.761,97.4778,161.718
388,0,-116.743,97.4574,161.715
389,0,-116.755,97.4687,161.741
390,0,-116.792,97.4587,161.702
391,0,-116.654,97.5278,161.798
392,0,-116.793,97.5026,161.709
393,0,-116.764,97.526,161.714
394,0,-116.689,97.5758,161.803
395,0,-116.825,97.5322,161.704
396,0,-116.836,97.5378,161.717
397,0,-116.875,97.5225,161.703
398,0,-116.867,97.5312,161.737
399,0,-116.921,97.5251,161.757
400,0,-116.901,97.5449,161.781
401,0,-116.971,97.5206,161.707
402,0,-116.84,97.5974,161.814
403,0,-116.929,97.5882,161.779
404,0,-116.933,97.6006,161.767
405,0,-116.988,97.6201,161.742
406,0,-117.031,97.6427,161.739
407,0,-117.023,97.6516,161.733
408,0,-117.042,97.6697,161.731
409,0,-117.036,97.667,161.752
410,0,-117.023,97.6426,161.729
411,0,-116.96,97.6455,161.723
412,0,-117.015,97.6445,161.731
413,0,-116.989,97.6913,161.733
414,0,-117.001,97.7245,161.758
415,0,-117.029,97.7584,161.749
416,0,-117.017,97.7732,161.741
417,0,-117.015,97.7837,161.745
418,0,-117.063,97.7919,161.749
419,0,-117.09,97.8004,161.754
420,0,-117.024,97.7737,161.768
421,0,-117.05,97.7616,161.765
422,0,-117.036,97.7474,161.764
423,0,-117.071,97.7728,161.741
424,0,-117.03,97.8039,161.757
425,0,-117.022,97.816,161.765
426,0,-117.024,97.827,161.783
427,0,-117.041,97.8255,161.772
428,0,-116.994,97.8864,161.759
429,0,-117.04,97.8134,161.765
430,0,-117.07,97.8124,161.764
431,0,-117.045,97.8107,161.759
432,0,-117.082,97.8147,161.769
433,0,-117.063,97.8204,161.775
434,0,-117.066,97.8568,161.772
435,0,-117.088,97.8667,161.762
436,0,-117.123,97.8551,161.764
437,0,-117.096,97.9234,161.767
438,0,-117.103,97.8915,161.781
439,0,-117.105,97.8965,161.787
440,0,-117.107,97.9116,161.781
441,0,-117.084,97.9944,161.788
442,0,-117.13,97.9662,161.792
443,0,-117.079,97.9909,161.785
444,0,-117.107,97.9453,161.785
445,0,-117.12,97.9214,161.774
446,0,-117.042,97.9758,161.796
447,0,-117.134,97.9104,161.768
448,0,-117.13,97.9382,161.784
449,0,-117.133,97.9367,161.787
450,0,-117.15,97.9611,161.781
451,0,-117.089,98.0373,161.788
452,0,-117.147,97.9988,161.805
453,0,-117.122,98.0352,161.796
454,0,-117.069,98.0467,161.802
455,0,-117.081,98.0563,161.812
456,0,-117.087,98.0787,161.816
457,0,-117.091,98.0987,161.814
458,0,-117.071,98.1169,161.792
459,0,-117.044,98.1473,161.809
460,0,-117.018,98.156,161.803
461,0,-117.019,98.1616,161.812
462,0,-117.05,98.1724,161.812
463,0,-117.024,98.1465,161.814
464,0,-117.002,98.1533,161.829
465,0,-117.022,98.151,161.804
466,0,-116.944,98.1527,161.814
467,0,-116.891,98.1717,161.833
468,0,-116.861,98.1973,161.821
469,0,-116.841,98.2455,161.818
470,0,-116.822,98.2861,161.831
471,0,-116.821,98.3061,161.828
472,0,-116.78,98.2882,161.851
473,0,-116.817,98.3059,161.833
474,0,-116.785,98.2913,161.83
475,0,-116.74,98.3158,161.866
476,0,-116.734,98.3328,161.842
477,0,-116.703,98.3864,161.851
478,0,-116.676,98.4027,161.869
479,0,-116.626,98.4239,161.886
480,0,-116.681,98.4204,161.861
481,0,-116.658,98.4078,161.867
482,0,-116.667,98.3903,161.874
483,0,-116.644,98.374,161.871
484,0,-116.64,98.3651,161.855
485,0,-116.631,98.3686,161.837
486,0,-116.63,98.3657,161.845
487,0,-116.632,98.3526,161.855
488,0,-116.626,98.3548,161.855
489,0,-116.657,98.3632,161.84
490,0,-116.663,98.391,161.856
491,0,-116.65,98.4181,161.861
492,0,-116.626,98.4229,161.865
493,0,-116.626,98.4347,161.86
494,0,-116.636,98.411,161.859
495,0,-116.612,98.3994,161.856
496,0,-116.635,98.3741,161.845
497,0,-116.608,98.3615,161.86
498,0,-116.647,98.3667,161.861
499,0,-116.663,98.3614,161.838
500,0,-116.601,98.3637,161.869
501,0,-116.584,98.3662,161.864
502,0,-116.612,98.3746,161.871
503,0,-116.579,98.3759,161.871
504,0,-116.591,98.3693,161.851
505,0,-116.605,98.3682,161.869
506,0,-116.58,98.3499,161.862
507,0,-116.581,98.3604,161.84
508,0,-116.581,98.3655,161.862
509,0,-116.577,98.3768,161.872
510,0,-116.579,98.4052,161.863
511,0,-116.579,98.4122,161.866
512,0,-116.556,98.4109,161.867
513,0,-116.571,98.414,161.869
514,0,-116.603,98.423,161.873
515,0,-116.58,98.4163,161.879
516,0,-116.584,98.4027,161.885
517,0,-116.603,98.3933,161.859
518,0,-116.585,98.4234,161.867
519,0,-116.576,98.4652,161.869
520,0,-116.563,98.4865,161.886
521,0,-116.563,98.5104,161.877
522,0,-116.572,98.5285,161.865
523,0,-116.602,98.514,161.877
524,0,-116.552,98.5218,161.888
525,0,-116.563,98.5237,161.875
526,0,-116.543,98.5255,161.894
527,0,-116.553,98.5392,161.882
528,0,-116.5,98.5581,161.894
529,0,-116.514,98.5733,161.903
530,0,-116.508,98.5819,161.865
531,0,-116.468,98.5912,161.908
532,0,-116.488,98.5909,161.916
533,0,-116.496,98.6065,161.893
534,0,-116.468,98.6242,161.879
535,0,-116.442,98.6072,161.885
536,0,-116.478,98.6172,161.905
537,0,-116.485,98.6129,161.884
538,0,-116.46,98.616,161.903
539,0,-116.426,98.6014,161.906
540,0,-116.446,98.6031,161.885
541,0,-116.379,98.6292,161.886
542,0,-116.393,98.6447,161.898
543,0,-116.385,98.6702,161.907
544,0,-116.387,98.6865,161.897
545,0,-116.376,98.7005,161.908
546,0,-116.382,98.7005,161.872
547,0,-116.376,98.689,161.907
548,0,-116.364,98.7113,161.918
549,0,-116.367,98.7528,161.907
550,0,-116.365,98.7698,161.911
551,0,-116.338,98.7852,161.921
552,0,-116.33,98.7915,161.912
553,0,-116.291,98.8035,161.923
554,0,-116.347,98.8018,161.908
555,0,-116.338,98.8108,161.915
556,0,-116.344,98.8103,161.909
557,0,-116.323,98.8047,161.925
558,0,-116.353,98.8234,161.928
559,0,-116.346,98.8488,161.931
560,0,-116.336,98.819,161.91
561,0,-116.359,98.8125,161.909
562,0,-116.314,98.8127,161.905
563,0,-116.311,98.8428,161.908
564,0,-116.268,98.8488,161.91
565,0,-116.237,98.8625,161.903
566,0,-116.26,98.8558,161.914
567,0,-116.272,98.8787,161.891
568,0,-116.285,98.8868,161.881
569,0,-116.266,98.8667,161.904
570,0,-116.262,98.885,161.896
571,0,-116.262,98.879,161.895
572,0,-116.27,98.8948,161.912
573,0,-116.265,98.9073,161.905
574,0,-116.294,98.926,161.91
575,0,-116.271,98.9229,161.91
576,0,-116.284,98.9463,161.899
577,0,-116.27,98.9506,161.921
578,0,-116.28,98.9439,161.91
579,0,-116.267,98.9451,161.917
580,0,-116.285,98.9566,161.907
581,0,-116.28,98.9652,161.905
582,0,-116.305,98.9906,161.909
583,0,-116.284,99.0022,161.903
584,0,-116.301,99.0373,161.903
585,0,-116.301,99.0471,161.88
586,0,-116.282,99.0343,161.886
587,0,-116.28,99.0738,161.915
588,0,-116.245,99.079,161.922
589,0,-116.293,99.1179,161.9
590,0,-116.314,99.1749,161.89
591,0,-116.308,99.1937,161.904
592,0,-116.316,99.2065,161.886
593,0,-116.313,99.2127,161.899
594,0,-116.301,99.1884,161.872
595,0,-116.295,99.1659,161.905
596,0,-116.295,99.1396,161.9
597,0,-116.326,99.1454,161.903
598,0,-116.318,99.1142,161.887
599,0,-116.319,99.1218,161.936
600,0,-116.367,99.152,161.874
601,0,-116.352,99.147,161.902
602,0,-116.333,99.1334,161.913
603,0,-116.397,99.1333,161.893
604,0,-116.397,99.0955,161.898
605,0,-116.412,99.0582,161.907
606,0,-116.412,99.0128,161.915
607,0,-116.452,98.9473,161.922
608,0,-116.417,98.9234,161.921
609,0,-116.409,98.8677,161.91
610,0,-116.427,98.8253,161.906
611,0,-116.402,98.8152,161.902
612,0,-116.388,98.821,161.894
613,0,-116.399,98.8173,161.907
614,0,-116.426,98.8107,161.894
615,0,-116.392,98.7977,161.902
616,0,-116.409,98.7533,161.905
617,0,-116.423,98.7191,161.911
618,0,-116.431,98.6952,161.898
619,0,-116.493,98.6637,161.88
620,0,-116.471,98.6657,161.876
621,0,-116.436,98.6561,161.9
622,0,-116.472,98.6337,161.889
623,0,-116.437,98.6027,161.89
624,0,-116.434,98.5634,161.884
625,0,-116.447,98.5528,161.876
626,0,-116.431,98.5282,161.874
627,0,-116.423,98.523,161.862
628,0,-116.412,98.5409,161.882
629,0,-116.451,98.5403,161.855
630,0,-116.453,98.5309,161.876
631,0,-116.542,98.5312,161.861
632,0,-116.512,98.4678,161.853
633,0,-116.519,98.4268,161.842
634,0,-116.501,98.3783,161.845
635,0,-116.506,98.3535,161.851
636,0,-116.501,98.3275,161.85
637,0,-116.503,98.3354,161.829
638,0,-116.497,98.3298,161.85
639,0,-116.517,98.3325,161.852
640,0,-116.532,98.3357,161.835
641,0,-116.534,98.3109,161.848
642,0,-116.524,98.3096,161.855
643,0,-116.57,98.3108,161.838
644,0,-116.558,98.3023,161.834
645,0,-116.575,98.2553,161.829
646,0,-116.579,98.2177,161.825
647,0,-116.605,98.1699,161.817
648,0,-116.625,98.1211,161.778
649,0,-116.641,98.091,161.787
650,0,-116.61,98.0619,161.77
651,0,-116.622,98.0519,161.764
652,0,-116.629,98.0557,161.796
653,0,-116.592,98.0537,161.785
654,0,-116.579,98.0449,161.763
655,0,-116.573,98.0212,161.768
656,0,-116.531,97.9568,161.768
657,0,-116.533,97.9295,161.753
658,0,-116.524,97.9026,161.749
659,0,-116.498,97.8882,161.76
660,0,-116.503,97.8794,161.757
661,0,-116.525,97.8964,161.763
662,0,-116.458,97.908,161.761
663,0,-116.416,97.9305,161.775
664,0,-116.349,97.944,161.766
665,0,-116.318,97.9247,161.752
666,0,-116.282,97.9293,161.761
667,0,-116.268,97.8718,161.754
668,0,-116.293,97.8142,161.74
669,0,-116.306,97.74,161.734
670,0,-116.323,97.7021,161.735
671,0,-116.329,97.6877,161.72
672,0,-116.306,97.7082,161.726
673,0,-116.296,97.7332,161.732
674,0,-116.309,97.7559,161.728
675,0,-116.287,97.769,161.731
676,0,-116.287,97.7287,161.733
677,0,-116.296,97.7049,161.723
678,0,-116.316,97.6632,161.708
679,0,-116.391,97.6277,161.695
680,0,-116.375,97.6126,161.711
681,0,-116.371,97.6047,161.712
682,0,-116.329,97.5764,161.694
683,0,-116.284,97.5676,161.712
684,0,-116.276,97.5631,161.728
685,0,-116.272,97.572,161.729
686,0,-116.181,97.6022,161.799
687,0,-116.2,97.6028,161.787
688,0,-116.18,97.6602,161.836
689,0,-116.294,97.605,161.761
690,0,-116.31,97.6155,161.751
691,0,-116.283,97.6008,161.741
692,0,-116.177,97.5971,161.773
693,0,-116.179,97.5924,161.74
694,0,-116.175,97.6064,161.737
695,0,-116.099,97.6646,161.79
696,0,-116.061,97.6702,161.788
697,0,-116.085,97.6684,161.761
698,0,-116.04,97.6641,161.772
699,0,-116.058,97.65,161.746
700,0,-116.019,97.6173,161.749
701,0,-116.007,97.604,161.743
702,0,-115.988,97.568,161.756
703,0,-115.976,97.5582,161.737
704,0,-115.98,97.5381,161.75
705,0,-115.941,97.5266,161.737
706,0,-115.927,97.5162,161.744
707,0,-115.904,97.478,161.728
708,0,-115.773,97.51,161.821
709,0,-115.917,97.4511,161.744
710,0,-115.887,97.4115,161.731
711,0,-115.922,97.4058,161.744
712,0,-115.882,97.3466,161.746
713,0,-115.941,97.3255,161.703
714,0,-115.956,97.2835,161.685
715,0,-115.996,97.2754,161.701
716,0,-116.026,97.2322,161.7
717,0,-116.044,97.2583,161.733
718,0,-116.02,97.2837,161.792
719,0,-116.027,97.2826,161.797
720,0,-116.126,97.2218,161.711
721,0,-115.989,97.2368,161.825
722,0,-116.03,97.1647,161.795
723,0,-116.108,97.1467,161.793
724,0,-116.244,97.0845,161.721
725,0,-116.34,97.0505,161.71
726,0,-116.304,96.968,161.785
727,0,-116.333,96.8727,161.791
728,0,-116.369,96.7782,161.76
729,0,-116.324,96.7585,161.748
730,0,-116.274,96.8216,161.811
731,0,-116.265,96.8216,161.781
732,0,-116.299,96.7962,161.804
733,0,-116.248,96.8257,161.82
734,0,-116.27,96.7271,161.792
735,0,-116.367,96.6362,161.775
736,0,-116.345,96.5924,161.773
737,0,-116.353,96.5476,161.779
738,0,-116.352,96.546,161.795
739,0,-116.377,96.5482,161.798
740,0,-116.388,96.5723,161.8
741,0,-116.439,96.5404,161.789
742,0,-116.454,96.493,161.775
743,0,-116.4,96.4139,161.804
744,0,-116.425,96.3203,161.769
745,0,-116.409,96.2597,161.771
746,0,-116.417,96.1856,161.799
747,0,-116.427,96.1598,161.79
748,0,-116.466,96.1616,161.777
749,0,-116.476,96.1052,161.795
750,0,-116.521,96.0201,161.773
751,0,-116.572,95.9039,161.757
752,0,-116.526,95.789,161.761
753,0,-116.521,95.7209,161.742
754,0,-116.557,95.6701,161.745
755,0,-116.557,95.6434,161.746
756,0,-116.523,95.5409,161.748
757,0,-116.529,95.4374,161.751
758,0,-116.536,95.3692,161.755
759,0,-116.584,95.3608,161.762
760,0,-116.592,95.3184,161.768
761,0,-116.6,95.2598,161.784
762,0,-116.628,95.1822,161.78
763,0,-116.663,95.0987,161.762
764,0,-116.648,95.0236,161.77
765,0,-116.674,94.9623,161.769
766,0,-116.656,94.9195,161.782
767,0,-116.728,94.931,161.801
768,0,-116.775,94.9209,161.789
769,0,-116.744,94.8345,161.786
770,0,-116.729,94.7725,161.784
771,0,-116.744,94.6827,161.776
772,0,-116.712,94.6468,161.802
773,0,-116.679,94.602,161.813
774,0,-116.735,94.5829,161.837
775,0,-116.78,94.627,161.816
776,0,-116.783,94.6005,161.825
777,0,-116.729,94.5042,161.799
778,0,-116.722,94.4152,161.79
779,0,-116.665,94.3549,161.817
780,0,-116.661,94.3213,161.838
781,0,-116.714,94.3832,161.861
