

Trajectories
100
,,Carre:Ante_braco1,,,Carre:Ante_braco2,,,Carre:braco2,,,Carre:caneta1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
20,0,22.9865,-120.923,254.532,84.5961,32.6714,137.131,-35.9737,137.169,133.773,-157.728,242.557,257.018
21,0,23.0915,-120.864,254.428,84.5937,32.5961,136.823,-35.9913,137.141,133.432,-157.371,241.712,256.875
22,0,23.0898,-120.825,254.278,84.536,32.4969,136.466,-36.0285,137.119,133.173,-157.1,240.976,256.679
23,0,23.1894,-120.739,254.156,84.4854,32.4304,136.126,-36.062,137.108,132.83,-156.901,240.433,256.47
24,0,23.2156,-120.661,254.058,84.4162,32.3615,135.822,-36.1113,137.149,132.436,-156.804,240.187,256.245
25,0,23.2728,-120.589,253.968,84.3201,32.2645,135.519,-36.3074,137.024,131.99,-156.682,240.387,255.907
26,0,23.2896,-120.508,253.869,84.2441,32.1603,135.143,-36.427,136.919,131.48,-156.641,240.998,255.468
27,0,23.3407,-120.464,253.781,84.1616,32.0154,134.788,-36.4754,136.817,130.951,-156.697,241.531,255.149
28,0,23.2843,-120.358,253.672,84.1088,31.9789,134.363,-36.5243,136.818,130.566,-156.802,241.809,254.932
29,0,23.3011,-120.248,253.544,84.0679,31.8873,133.897,-36.5492,136.805,130.211,-156.975,242.063,254.685
30,0,23.6595,-119.868,253.406,84.0055,31.8117,133.419,-36.5016,136.795,129.89,-157.249,242.457,254.449
31,0,23.3163,-119.931,253.216,83.9771,31.8386,132.953,-36.4593,136.841,129.54,-157.744,242.95,254.166
32,0,23.3296,-119.773,253.039,83.8821,31.8882,132.513,-36.3844,136.896,129.191,-158.231,243.418,253.932
33,0,23.3929,-119.659,252.88,83.8173,31.8893,132.127,-36.2988,137.01,128.838,-158.746,243.966,253.708
34,0,23.479,-119.482,252.744,83.7645,31.9217,131.717,-36.1931,137.179,128.483,-159.231,244.502,253.498
35,0,23.5255,-119.35,252.57,83.7331,31.9077,131.352,-36.1431,137.279,128.097,-159.606,245.003,253.26
36,0,23.5769,-119.175,252.381,83.7148,31.9796,130.938,-36.1587,137.379,127.709,-159.981,245.308,253.094
37,0,23.6475,-118.994,252.216,83.674,31.9325,130.598,-36.1612,137.458,127.352,-160.056,245.659,252.889
38,0,23.71,-118.789,252.025,83.6819,32.0397,130.207,-36.1438,137.592,127.016,-160.123,245.778,252.757
39,0,23.8653,-118.631,251.872,83.6655,32.0614,129.835,-36.0557,137.848,126.69,-160.119,245.693,252.666
40,0,23.8494,-118.391,251.618,83.646,32.0821,129.432,-36.0008,138.061,126.339,-160.049,245.509,252.599
41,0,23.941,-118.168,251.366,83.6241,32.1151,129.052,-35.9383,138.274,125.894,-160.03,245.342,252.555
42,0,23.9925,-117.991,251.201,83.6335,32.2071,128.707,-35.9005,138.469,125.468,-159.94,245.299,252.452
43,0,24.0412,-117.843,251.031,83.5726,32.3208,128.357,-35.8739,138.649,125.084,-159.919,245.389,252.33
44,0,24.0963,-117.673,250.837,83.5903,32.4446,127.994,-35.8169,138.894,124.73,-159.913,245.578,252.228
45,0,24.1316,-117.481,250.688,83.6415,32.5471,127.754,-35.7743,139.087,124.426,-159.848,245.82,252.049
46,0,24.2913,-117.347,250.615,83.6972,32.6319,127.601,-35.6494,139.298,124.211,-159.766,246.023,251.861
47,0,24.4006,-117.218,250.542,83.7741,32.723,127.534,-35.4978,139.559,124.057,-159.722,246.126,251.634
48,0,24.4518,-117.138,250.507,83.9133,32.8597,127.511,-35.2978,139.805,123.937,-159.434,246.106,251.468
49,0,24.5574,-117.072,250.486,84.0317,32.9964,127.465,-35.1135,140.061,123.844,-159.165,245.921,251.388
50,0,24.6886,-116.974,250.486,84.1343,33.0873,127.432,-34.9709,140.234,123.743,-158.96,245.607,251.353
51,0,24.7666,-116.916,250.487,84.2172,33.1115,127.388,-34.7331,140.437,123.642,-158.702,245.284,251.25
52,0,24.936,-116.855,250.462,84.29,33.1147,127.288,-34.5372,140.603,123.564,-158.45,244.933,251.191
53,0,25.1069,-116.756,250.398,84.3185,33.1389,127.16,-34.3273,140.792,123.447,-158.126,244.61,251.116
54,0,25.2268,-116.723,250.349,84.3706,33.1565,127.026,-34.1631,140.983,123.326,-157.656,244.399,251.05
55,0,25.3862,-116.645,250.36,84.4673,33.1808,126.9,-34.0676,141.147,123.13,-157.124,244.164,250.984
56,0,25.5004,-116.596,250.368,84.5365,33.2605,126.794,-33.9943,141.375,122.993,-156.562,243.998,250.938
57,0,25.6515,-116.527,250.34,84.6235,33.3033,126.724,-33.9158,141.487,122.802,-156.021,243.776,250.913
58,0,25.761,-116.441,250.343,84.7043,33.3911,126.634,-33.8149,141.653,122.628,-155.533,243.557,250.865
59,0,25.9093,-116.35,250.291,84.7735,33.431,126.543,-33.6871,141.882,122.472,-155.126,243.363,250.799
60,0,26.0048,-116.252,250.299,84.8625,33.4885,126.472,-33.5557,142.183,122.299,-154.729,243.123,250.754
61,0,26.1019,-116.168,250.256,84.9021,33.5568,126.433,-33.326,142.588,122.162,-154.302,242.901,250.669
62,0,26.2057,-116.074,250.199,84.9761,33.6506,126.374,-33.1092,143.007,122.01,-153.839,242.754,250.586
63,0,26.3311,-116.002,250.191,85.0034,33.7379,126.332,-32.853,143.533,121.785,-153.407,242.618,250.508
64,0,26.4284,-115.875,250.136,85.1126,33.8527,126.28,-32.6928,143.932,121.583,-153.026,242.573,250.348
65,0,26.5466,-115.787,250.108,85.1705,33.9713,126.246,-32.474,144.407,121.326,-152.66,242.655,250.186
66,0,26.6831,-115.617,250.03,85.2338,34.1134,126.192,-32.2889,144.88,121.035,-152.364,242.95,249.961
67,0,26.8136,-115.455,249.957,85.3027,34.2709,126.144,-31.9803,145.443,120.831,-152.178,243.341,249.756
68,0,26.9282,-115.331,249.885,85.3721,34.3757,126.119,-31.6726,146.066,120.521,-151.71,243.873,249.57
69,0,27.0512,-115.19,249.828,85.4164,34.5153,126.087,-31.3547,146.784,120.251,-150.899,244.387,249.374
70,0,27.1767,-115.025,249.751,85.5479,34.7164,126.084,-31.0088,147.42,119.978,-150.103,244.916,249.168
71,0,27.2998,-114.91,249.711,85.6143,34.9021,126.061,-30.8068,148.01,119.697,-149.458,245.543,249.132
72,0,27.4081,-114.809,249.663,85.6864,35.0411,126.014,-30.5405,148.526,119.427,-148.848,246.139,249.117
73,0,27.4789,-114.696,249.597,85.7869,35.1602,125.974,-30.3221,149.019,119.087,-148.239,246.704,249.098
74,0,27.6099,-114.583,249.553,85.8569,35.2648,125.866,-30.0323,149.552,118.812,-147.501,247.205,249.08
75,0,27.7776,-114.491,249.519,85.9194,35.3715,125.81,-29.7448,150.169,118.552,-146.84,247.542,249.154
76,0,27.8934,-114.452,249.477,86.0066,35.5638,125.75,-29.4694,150.815,118.238,-146.281,247.758,249.293
77,0,28.0244,-114.439,249.433,86.0801,35.6721,125.707,-29.2238,151.424,117.959,-145.669,247.967,249.386
78,0,28.1307,-114.378,249.407,86.1181,35.8027,125.622,-28.9961,151.987,117.626,-145.12,248.189,249.453
79,0,28.3157,-114.295,249.373,86.2017,35.928,125.596,-28.7686,152.625,117.243,-144.529,248.518,249.356
80,0,28.4636,-114.266,249.412,86.2511,36.0424,125.529,-28.5826,153.078,116.809,-143.885,248.988,249.189
81,0,28.551,-114.168,249.367,86.2717,36.1332,125.423,-28.3458,153.787,116.326,-143.312,249.471,248.918
82,0,28.6616,-114.098,249.361,86.2749,36.1706,125.306,-28.149,154.402,115.813,-142.849,249.832,248.612
83,0,28.7334,-114.075,249.39,86.2953,36.2931,125.255,-28.0357,154.932,115.276,-142.227,250.423,248.087
84,0,28.7583,-114.001,249.363,86.3099,36.4228,125.181,-27.9267,155.445,114.686,-141.766,250.924,247.595
85,0,28.8529,-113.986,249.402,86.2892,36.5738,125.105,-27.846,155.959,114.07,-141.419,251.594,246.812
86,0,28.8608,-113.948,249.404,86.2895,36.6749,125.038,-27.7877,156.461,113.415,-140.916,252.618,245.944
87,0,28.9225,-113.908,249.421,86.2391,36.7654,124.928,-27.6671,157.053,112.772,-140.559,253.719,245.013
88,0,28.9337,-113.819,249.392,86.1766,36.848,124.828,-27.5553,157.575,112.175,-140.125,254.973,243.93
89,0,28.8955,-113.753,249.432,86.1075,36.9084,124.719,-27.5347,157.978,111.572,-139.9,256.389,242.652
90,0,28.8529,-113.642,249.422,86.0277,37.0348,124.627,-27.6012,158.395,111.012,-139.521,257.923,241.311
91,0,28.7663,-113.532,249.416,85.9479,37.1802,124.534,-27.598,159.005,110.364,-139.125,259.57,239.932
92,0,28.6735,-113.455,249.409,85.8519,37.313,124.476,-27.6236,159.456,109.734,-138.92,261.201,238.636
93,0,28.6181,-113.343,249.421,85.7755,37.4432,124.392,-27.5465,159.925,109.106,-138.583,263.159,237.326
94,0,28.4512,-113.194,249.38,85.6778,37.5813,124.316,-27.3668,160.404,108.475,-138.019,264.803,236.067
95,0,28.4301,-113.063,249.376,85.4346,37.9542,124.158,-27.3842,160.847,107.848,-137.549,266.489,234.781
96,0,28.3467,-112.95,249.367,85.3685,38.0597,124.059,-27.4095,161.299,107.228,-137.34,267.846,233.677
97,0,28.26,-112.83,249.398,85.2526,38.1729,123.947,-27.3491,161.726,106.67,-136.906,269.288,232.655
98,0,28.1552,-112.714,249.42,85.3656,38.1301,123.966,-27.2881,162.183,106.14,-136.536,270.372,231.686
99,0,28.1464,-112.572,249.47,85.321,38.2877,123.908,-27.1369,162.719,105.676,-136.501,271.121,231.002
100,0,28.04,-112.475,249.497,85.3088,38.446,123.91,-26.9543,163.232,105.252,-136.33,272.04,230.295
101,0,28.0061,-112.371,249.578,85.3128,38.5757,123.897,-26.7269,163.712,104.845,-135.977,273.017,229.59
102,0,27.9903,-112.218,249.647,85.3551,38.7448,123.915,-26.487,164.172,104.517,-135.632,273.658,228.946
103,0,27.9417,-112.045,249.68,85.4339,38.8712,123.913,-26.2749,164.569,104.2,-135.334,274.221,228.576
104,0,27.892,-111.905,249.774,85.5372,38.9692,123.909,-26.1068,164.967,103.927,-135.044,274.755,228.358
105,0,27.8887,-111.741,249.818,85.5652,39.0606,123.883,-25.9629,165.27,103.742,-134.7,275.036,228.321
106,0,27.8416,-111.586,249.862,85.6445,39.1499,123.836,-25.7349,165.564,103.569,-134.285,275.238,228.407
107,0,27.7701,-111.467,249.907,85.724,39.2154,123.834,-25.6132,165.838,103.427,-133.948,275.312,228.866
108,0,27.6826,-111.333,249.964,85.7805,39.2817,123.814,-25.4278,166.157,103.269,-133.386,275.069,229.709
109,0,27.5614,-111.222,250.004,85.8184,39.3929,123.841,-25.2343,166.442,103.107,-132.792,274.896,230.264
110,0,27.4519,-111.091,250.039,85.8796,39.5172,123.806,-25.0236,166.689,103.056,-132.24,274.795,230.569
111,0,27.4239,-110.986,250.085,85.9242,39.5975,123.8,-24.8218,166.932,103.071,-131.842,274.858,230.694
112,0,27.366,-110.826,250.1,86.042,39.6617,123.814,-24.6502,167.055,103.074,-131.603,275.142,230.826
113,0,27.3768,-110.701,250.111,86.116,39.6694,123.825,-24.4914,167.174,103.062,-131.397,275.413,230.946
114,0,27.342,-110.528,250.138,86.233,39.7086,123.824,-24.3508,167.303,103.057,-131.116,275.632,231.049
115,0,27.3035,-110.404,250.169,86.3004,39.7488,123.845,-24.1869,167.439,103.082,-130.825,275.796,231.147
116,0,27.2697,-110.29,250.21,86.401,39.7778,123.832,-24.063,167.574,103.04,-130.572,275.933,231.184
117,0,27.2366,-110.176,250.265,86.5013,39.8324,123.849,-23.9316,167.678,103.048,-130.3,276.02,231.132
118,0,27.2196,-110.059,250.242,86.5373,39.8474,123.847,-23.8376,167.767,103.013,-130.134,276.013,231.074
119,0,27.2376,-109.958,250.279,86.5691,39.9122,123.854,-23.7079,167.891,102.993,-130.039,275.965,230.965
120,0,27.1928,-109.851,250.297,86.5904,39.9768,123.845,-23.6068,168.059,102.961,-130.06,275.729,230.913
121,0,27.1588,-109.798,250.311,86.6472,40.0433,123.847,-23.5479,168.163,102.841,-130.117,275.326,230.926
122,0,27.1584,-109.784,250.354,86.654,40.0874,123.86,-23.4369,168.316,102.688,-130.097,274.758,230.892
123,0,27.0895,-109.748,250.361,86.7146,40.1628,123.841,-23.3889,168.415,102.509,-130.045,274.074,230.904
124,0,27.1678,-109.709,250.4,86.704,40.2075,123.809,-23.3351,168.538,102.342,-130.095,273.321,230.895
125,0,27.1316,-109.645,250.413,86.7338,40.2369,123.799,-23.2832,168.664,102.2,-130.285,272.701,230.87
126,0,27.1008,-109.506,250.409,86.792,40.3454,123.771,-23.2478,168.747,102.042,-130.423,272.075,230.776
127,0,27.1098,-109.438,250.434,86.8442,40.4119,123.729,-23.1973,168.88,101.931,-130.636,271.66,230.642
128,0,27.0827,-109.353,250.455,86.8794,40.4964,123.725,-23.1977,168.955,101.782,-130.799,271.466,230.437
129,0,27.0079,-109.261,250.451,86.9045,40.5564,123.701,-23.15,169.106,101.694,-131.028,271.513,230.215
130,0,26.9683,-109.172,250.482,86.9317,40.6328,123.694,-23.1536,169.176,101.582,-131.279,271.742,229.942
131,0,26.9508,-109.123,250.507,86.9531,40.6592,123.69,-23.1101,169.241,101.47,-131.463,272.265,229.6
132,0,26.8882,-109.127,250.518,86.9289,40.6892,123.662,-23.0574,169.361,101.434,-131.721,272.738,229.241
133,0,26.877,-109.095,250.533,86.9254,40.7121,123.64,-23.0328,169.415,101.375,-131.867,273.344,228.952
134,0,26.8385,-109.08,250.551,86.9165,40.7277,123.636,-23.006,169.511,101.31,-132.083,274.059,228.507
135,0,26.844,-109.07,250.604,86.9019,40.741,123.628,-22.9774,169.609,101.245,-132.193,275.066,228.006
136,0,26.7701,-109.064,250.591,86.8965,40.7725,123.611,-22.9542,169.651,101.162,-132.101,276.135,227.53
137,0,26.8199,-109.046,250.612,86.9065,40.8018,123.608,-22.9489,169.769,101.079,-131.918,277.019,227.1
138,0,26.8165,-109.078,250.651,86.9301,40.8157,123.605,-22.9257,169.817,100.906,-131.486,277.96,226.692
139,0,26.8059,-109.068,250.65,86.9438,40.8514,123.589,-22.9111,169.878,100.814,-130.948,279.241,226.304
140,0,26.8701,-109.056,250.616,86.9671,40.8683,123.555,-22.9393,169.917,100.738,-130.28,280.461,225.791
141,0,26.8675,-109.029,250.591,86.9865,40.8936,123.531,-22.9655,169.963,100.642,-129.326,281.91,225.221
142,0,26.9103,-109.056,250.599,87.0175,40.8895,123.534,-22.9537,170.022,100.548,-128.141,283.391,224.655
143,0,26.9372,-109.045,250.553,87.0173,40.8936,123.537,-22.9552,170.076,100.501,-126.716,285.008,224.018
144,0,26.9275,-109.075,250.548,87.0096,40.8761,123.503,-23.3177,169.965,100.306,-125.173,286.454,223.369
145,0,26.9833,-109.095,250.525,86.983,40.8532,123.523,-23.3904,170.033,100.184,-123.435,288.131,222.587
146,0,27.036,-109.14,250.52,86.9631,40.848,123.498,-23.297,170.208,100.127,-121.873,289.491,222.039
147,0,27.1017,-109.168,250.547,86.9242,40.8435,123.508,-23.1994,170.335,100.073,-120.38,290.761,221.346
148,0,27.1723,-109.21,250.558,86.8978,40.8654,123.534,-23.22,170.433,100.03,-118.681,292.109,220.718
149,0,27.2753,-109.237,250.598,86.9063,40.8375,123.555,-23.1877,170.52,100.011,-118.146,292.589,220.632
150,0,27.3491,-109.254,250.604,86.9136,40.8397,123.58,-23.1066,170.633,100.067,-117.517,293.22,220.509
151,0,27.3523,-109.281,250.58,86.9457,40.839,123.615,-22.9582,170.81,100.125,-117.069,293.624,220.557
152,0,27.4286,-109.308,250.601,86.9536,40.8346,123.641,-22.8296,170.917,100.21,-116.734,293.864,220.706
153,0,27.4618,-109.357,250.574,86.9975,40.8359,123.676,-22.7135,171.05,100.291,-116.542,293.971,220.93
154,0,27.5771,-109.355,250.579,86.9982,40.8385,123.716,-22.5717,171.191,100.4,-116.406,294.05,221.109
155,0,27.6205,-109.387,250.556,87.0666,40.8518,123.761,-22.4378,171.304,100.483,-116.281,294.133,221.278
156,0,27.7091,-109.392,250.574,87.1081,40.8549,123.781,-22.3359,171.369,100.574,-116.113,294.258,221.41
157,0,27.815,-109.407,250.555,87.1721,40.8514,123.789,-22.2202,171.467,100.62,-115.899,294.382,221.51
158,0,27.8682,-109.398,250.569,87.2007,40.878,123.82,-22.0888,171.578,100.706,-115.676,294.532,221.55
159,0,27.9825,-109.361,250.58,87.2193,40.8752,123.827,-22.004,171.677,100.779,-115.486,294.641,221.585
160,0,27.9939,-109.37,250.579,87.2122,40.8476,123.813,-21.8625,171.804,100.825,-115.359,294.662,221.627
161,0,28.0037,-109.359,250.559,87.2443,40.8821,123.854,-21.799,171.894,100.862,-115.343,294.595,221.694
162,0,27.9893,-109.38,250.542,87.2539,40.8989,123.867,-21.6964,172.017,100.894,-115.395,294.449,221.771
163,0,28.0677,-109.409,250.562,87.2578,40.9114,123.897,-21.5702,172.173,100.903,-115.566,294.179,221.847
164,0,28.0459,-109.434,250.545,87.2956,40.9562,123.933,-21.4724,172.371,100.844,-115.805,293.741,221.988
165,0,28.1097,-109.41,250.553,87.3004,40.9728,123.956,-21.345,172.589,100.833,-116.074,293.279,222.056
166,0,28.096,-109.382,250.516,87.3681,41.0249,123.992,-21.2334,172.701,100.818,-116.4,292.773,222.038
167,0,28.1258,-109.342,250.517,87.393,41.061,124.025,-21.1577,172.828,100.825,-116.778,292.263,221.934
168,0,28.1701,-109.37,250.547,87.4484,41.0996,124.036,-21.022,173.012,100.894,-116.876,292.061,221.68
169,0,28.1502,-109.367,250.508,87.4406,41.1212,124.055,-20.9336,173.111,100.9,-117.638,291.582,221.92
170,0,28.2062,-109.365,250.542,87.4852,41.1109,124.079,-20.9055,173.163,100.843,-118.164,291.225,221.976
171,0,28.1859,-109.378,250.515,87.4874,41.1211,124.06,-20.9264,173.195,100.822,-118.707,290.777,221.977
172,0,28.2417,-109.391,250.559,87.421,41.1104,124.072,-21.0051,173.184,100.77,-119.411,290.228,221.986
173,0,28.2451,-109.382,250.576,87.3827,41.1201,124.061,-21.0523,173.197,100.709,-120.169,289.665,221.887
174,0,28.2239,-109.385,250.543,87.3392,41.1566,124.035,-21.1089,173.218,100.62,-120.926,289.073,221.742
175,0,28.2077,-109.399,250.525,87.2466,41.156,124.058,-21.2766,173.179,100.481,-121.664,288.58,221.428
176,0,28.2573,-109.416,250.549,87.1898,41.1768,124.076,-21.4876,173.085,100.371,-122.487,288.013,221.108
177,0,28.2283,-109.418,250.554,87.0709,41.1933,124.069,-21.6965,172.983,100.243,-123.357,287.587,220.879
178,0,28.1917,-109.399,250.55,86.9653,41.208,124.057,-21.9108,172.909,100.068,-124.066,287.532,220.486
179,0,28.1392,-109.395,250.566,86.8402,41.1895,124.055,-22.1862,172.794,99.9118,-124.751,287.751,220.121
180,0,28.147,-109.369,250.595,86.7692,41.2407,124.041,-22.4014,172.63,99.8111,-125.325,288.35,219.621
181,0,28.1189,-109.345,250.596,86.6386,41.2667,124.017,-22.6787,172.497,99.7125,-125.991,289.145,219.074
182,0,28.1664,-109.34,250.615,86.4881,41.2645,124.029,-23.0102,172.325,99.621,-126.413,289.845,218.777
183,0,28.2319,-109.35,250.654,86.3146,41.3167,124.057,-23.3691,172.197,99.5587,-126.697,290.307,218.601
184,0,28.2378,-109.35,250.656,86.106,41.3282,124.076,-23.6819,172.103,99.5806,-126.754,290.464,218.55
185,0,28.2391,-109.326,250.691,85.8209,41.3594,124.092,-24.0909,172.015,99.572,-126.621,290.522,218.606
186,0,28.2089,-109.329,250.718,85.527,41.3946,124.133,-24.3709,171.928,99.7003,-126.358,290.429,218.737
187,0,28.1338,-109.303,250.711,85.1834,41.4411,124.186,-24.5131,171.831,100.014,-125.928,290.192,218.993
188,0,28.0637,-109.323,250.702,84.8525,41.4721,124.213,-24.8221,171.837,100.147,-125.387,289.719,219.289
189,0,27.9597,-109.311,250.723,84.5067,41.5334,124.264,-25.6185,171.701,100.099,-124.483,289.201,219.54
190,0,27.9516,-109.288,250.757,84.1689,41.6229,124.277,-25.4574,171.91,100.466,-123.553,288.359,219.9
191,0,27.9051,-109.275,250.771,83.8364,41.7117,124.297,-25.7493,171.992,100.584,-122.59,287.299,220.348
192,0,27.8601,-109.239,250.775,83.5397,41.8292,124.305,-26.0239,172.06,100.671,-121.672,286.249,220.645
193,0,27.7858,-109.207,250.765,83.2616,41.9651,124.301,-26.2579,172.152,100.739,-120.602,285.226,220.886
194,0,27.7181,-109.176,250.792,82.9947,42.0652,124.334,-26.4815,172.231,100.802,-119.345,284.342,220.738
195,0,27.6619,-109.142,250.773,82.7091,42.169,124.369,-26.7194,172.333,100.893,-118.614,283.403,221.054
196,0,27.625,-109.122,250.791,82.4232,42.2441,124.415,-26.9451,172.478,100.934,-117.92,282.615,221.029
197,0,27.5333,-109.071,250.809,82.1829,42.3261,124.454,-27.1626,172.609,100.988,-117.61,281.877,220.934
198,0,27.4218,-109.031,250.821,81.983,42.4092,124.502,-27.3178,172.778,101.052,-117.65,281.254,220.819
199,0,27.3179,-109.011,250.802,81.7148,42.4668,124.542,-27.4564,172.968,101.04,-118.102,280.865,220.685
200,0,27.1833,-109.026,250.866,81.7137,42.8238,124.638,-27.5526,173.199,101.037,-118.893,280.759,220.399
201,0,27.0581,-108.998,250.86,81.4385,42.8666,124.649,-27.7085,173.417,101.013,-119.98,280.954,220.008
202,0,26.978,-109.01,250.893,80.9953,42.6937,124.606,-27.7411,173.68,100.949,-121.282,281.195,219.627
203,0,26.8435,-109.021,250.928,80.7669,42.7552,124.623,-27.8634,173.89,100.796,-122.814,281.581,219.141
204,0,26.7113,-109.038,250.964,80.4835,42.8027,124.65,-27.9805,174.127,100.576,-124.585,281.897,218.735
205,0,26.6546,-109.061,251.005,80.3174,42.83,124.692,-28.145,174.27,100.355,-126.556,282.057,218.463
206,0,26.5297,-109.047,251.046,80.0979,42.8759,124.708,-28.3507,174.423,100.09,-128.766,282.156,218.062
207,0,26.4798,-109.05,251.09,79.8807,42.9188,124.719,-28.5251,174.574,99.8444,-131.132,281.996,217.842
208,0,26.3351,-109.077,251.098,79.659,42.9592,124.692,-28.6398,174.71,99.6433,-133.695,281.625,217.519
209,0,26.2843,-109.064,251.118,79.4634,42.9986,124.69,-28.7998,174.822,99.4391,-136.308,281.597,217.143
210,0,26.169,-109.066,251.116,79.2747,43.0341,124.7,-28.9903,174.885,99.2568,-138.736,281.651,216.616
211,0,26.0888,-109.083,251.176,79.0449,43.0585,124.684,-29.2154,174.886,99.0759,-141.02,281.598,216.209
212,0,26.0097,-109.075,251.207,78.8372,43.024,124.66,-29.4044,174.847,98.8873,-143.125,281.77,215.589
213,0,25.9042,-109.072,251.267,78.6754,43.0328,124.641,-29.6277,174.75,98.7263,-144.532,281.796,215.213
214,0,25.836,-109.055,251.311,78.517,43.0352,124.609,-29.9068,174.593,98.5273,-145.781,281.671,214.69
215,0,25.705,-109.101,251.381,78.3328,43.0079,124.578,-30.3239,174.406,98.2513,-146.693,281.462,214.269
216,0,25.5591,-109.105,251.436,78.1329,42.9661,124.562,-30.7216,174.228,97.945,-147.266,281.242,213.863
217,0,25.4799,-109.164,251.498,77.9078,42.9714,124.539,-31.0254,174.097,97.6405,-147.333,281.189,213.408
218,0,25.3844,-109.211,251.56,77.7328,42.9901,124.461,-31.3177,174.012,97.3522,-147.053,281.004,212.925
219,0,25.2398,-109.299,251.588,77.5303,42.984,124.459,-31.545,173.933,97.087,-146.483,280.875,212.469
220,0,25.162,-109.336,251.622,77.3408,43.0066,124.448,-31.8122,173.859,96.8223,-145.924,280.66,212.139
221,0,25.0534,-109.332,251.638,77.1629,42.9972,124.455,-31.9727,173.84,96.5708,-145.208,280.409,211.923
222,0,24.9908,-109.356,251.68,77.0533,43.0151,124.445,-32.1211,173.816,96.3581,-144.433,280.224,211.711
223,0,24.909,-109.337,251.734,76.9208,43.0381,124.421,-32.1841,173.857,96.1496,-143.543,280.217,211.461
224,0,24.7709,-109.313,251.744,76.8138,43.0471,124.432,-32.2495,173.914,95.9773,-142.558,280.407,211.275
225,0,24.6731,-109.322,251.821,76.696,42.9928,124.437,-32.2522,173.999,95.8083,-141.55,280.769,210.954
226,0,24.5777,-109.373,251.901,76.6166,43.0081,124.478,-32.2433,174.143,95.6523,-140.415,281.453,210.617
227,0,24.5027,-109.393,251.958,76.5553,43.0199,124.501,-32.1286,174.368,95.5304,-139.503,282.341,210.242
228,0,24.4157,-109.409,251.997,76.4873,43.0489,124.534,-31.9752,174.622,95.3705,-138.571,283.272,209.916
229,0,24.3697,-109.423,252.007,76.4412,43.097,124.56,-31.8267,174.827,95.2427,-137.66,284.369,209.716
230,0,24.2903,-109.427,252.007,76.4129,43.1331,124.549,-31.6544,175.051,95.1317,-137.155,285.003,209.132
231,0,24.2521,-109.413,252.021,76.4473,43.2038,124.55,-31.5056,175.279,95.0836,-136.606,285.718,208.856
232,0,24.2344,-109.418,252.035,76.4645,43.2376,124.583,-31.3501,175.501,95.0059,-136.223,286.214,208.712
233,0,24.1852,-109.398,252.045,76.5216,43.2528,124.586,-31.1766,175.702,94.9491,-135.817,286.616,208.608
234,0,24.1488,-109.364,252.048,76.5802,43.2755,124.609,-31.0458,175.872,94.8654,-135.543,286.744,208.62
